127.0.0.1 - - [07/Mar/2019:23:38:46 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/login.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/css/bootstrap.min.css HTTP/1.1" 200 140942
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/js/view/jquery/jquery-3.3.1.slim.min.js HTTP/1.1" 200 69919
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/js/view/popper/popper.min.js HTTP/1.1" 200 20342
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/js/view/bootstrap/bootstrap.min.js HTTP/1.1" 200 51045
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/icon/iconLogin.svg HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/icon/userIcon.svg HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:38:49 +0200] "GET /WebGymTracking/icon/keyIcon.svg HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [07/Mar/2019:23:57:48 +0200] "GET /WebGymTracking/login.jsp HTTP/1.1" 200 1922
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/login.jsp HTTP/1.1" 200 1922
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/icon/iconLogin.svg HTTP/1.1" 200 2148
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/css/bootstrap.min.css HTTP/1.1" 200 140942
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/icon/keyIcon.svg HTTP/1.1" 200 338
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/icon/userIcon.svg HTTP/1.1" 200 235
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/js/view/jquery/jquery-3.3.1.slim.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/js/view/popper/popper.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /WebGymTracking/js/view/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2019:23:57:53 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [07/Mar/2019:23:57:54 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [07/Mar/2019:23:58:32 +0200] "GET /WebGymTracking/registration.jsp HTTP/1.1" 200 2665
127.0.0.1 - - [07/Mar/2019:23:58:32 +0200] "GET /WebGymTracking/icon/regIcon.svg HTTP/1.1" 200 7956
127.0.0.1 - - [07/Mar/2019:23:58:32 +0200] "GET /WebGymTracking/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2019:23:58:32 +0200] "GET /WebGymTracking/js/sliderUser.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2019:23:58:32 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
